time,Integrated_grad_energy,SideFluxIntegral,average_composition,c_time_derivative,chemical_potential_integral,chemical_potential_time_derivative,order_parameter,right,top,total_free_energy
15.215011339341,0,0,-0.92500000000002,2.9430425156007e-17,-832.50000000002,3.9942906076096e-05,-832.50000000002,-27.75,-30.000892829918,18.158057554859
16.606010508018,0,0,-0.92500000000001,-2.0623689960428e-18,-832.50000000001,3.9789429602158e-05,-832.50000000001,-27.75,-30.000885582961,18.152626784503
18.136109593562,0,0,-0.92499999999999,-6.5133821971154e-18,-832.49999999999,3.9616635978353e-05,-832.49999999999,-27.75,-30.000877670845,18.146748978278
19.819218587661,0,0,-0.92499999999999,-2.030294870003e-17,-832.49999999999,3.9421751261493e-05,-832.49999999999,-27.75,-30.000869038813,18.140398764026
21.67063848117,0,0,-0.925,1.1886386996683e-17,-832.5,3.9201561110805e-05,-832.5,-27.75,-30.000859628865,18.133551981004
23.70720036403,0,0,-0.92499999999998,-3.5106315761446e-18,-832.49999999998,3.8952336979857e-05,-832.49999999998,-27.75,-30.000849379819,18.126186468675
25.947418435176,0,0,-0.92500000000001,-1.0506276687518e-18,-832.50000000001,3.8669750621663e-05,-832.50000000001,-27.75,-30.000838227446,18.118283026949
27.963614699207,0,0,-0.92500000000001,1.5763000804087e-18,-832.50000000001,3.8408112918081e-05,-832.50000000001,-27.75,-30.000828297747,18.111345647713
29.778191336835,0,0,-0.925,-4.5013043705942e-18,-832.5,3.8166681026112e-05,-832.5,-27.75,-30.000819446883,18.105242599497
31.4113103107,0,0,-0.92500000000003,1.5872019591285e-17,-832.50000000003,3.7944561568404e-05,-832.50000000003,-27.75,-30.000811549789,18.099862463165
33.207741181952,0,0,-0.92499999999999,1.3967620357609e-17,-832.49999999999,3.7694866354278e-05,-832.49999999999,-27.75,-30.00080293716,18.094066231625
35.183815140329,0,0,-0.92500000000003,-4.869837112172e-18,-832.50000000003,3.741392423817e-05,-832.50000000003,-27.75,-30.000793551835,18.087836196914
37.357496494544,0,0,-0.92500000000002,2.7371568523253e-18,-832.50000000002,3.7097472592016e-05,-832.50000000002,-27.75,-30.000783333615,18.081157221917
39.74854598418,0,0,-0.92499999999999,5.4628787598626e-18,-832.49999999999,3.6740591092706e-05,-832.49999999999,-27.75,-30.000772219389,18.074017684334
41.900490524853,0,0,-0.92500000000001,-7.8884912473014e-18,-832.5,3.6411955980017e-05,-832.5,-27.75,-30.000762327574,18.067774581256
43.837240611458,0,0,-0.925,-3.6423677869879e-18,-832.5,3.6110202291307e-05,-832.5,-27.75,-30.000753513489,18.062301036246
45.580315689403,0,0,-0.925,-4.4949328005355e-18,-832.5,3.5833841355374e-05,-832.5,-27.75,-30.000745651523,18.057490618367
47.497698275142,0,0,-0.92500000000001,2.422766456736e-18,-832.50000000001,3.5524591479674e-05,-832.50000000001,-27.75,-30.000737079589,18.052323899989
49.606819119455,0,0,-0.925,-1.4908234446024e-17,-832.5,3.517841424858e-05,-832.5,-27.75,-30.000727741313,18.046788939744
51.9268520482,0,0,-0.92499999999998,-9.7710887940621e-18,-832.49999999998,3.4790697626895e-05,-832.49999999998,-27.75,-30.000717577349,18.040876629077
54.478888269819,0,0,-0.92500000000001,1.64315450864e-18,-832.50000000001,3.4356222791888e-05,-832.50000000001,-27.75,-30.000706525491,18.034581511112
56.775720869276,0,0,-0.92499999999999,3.7193734345182e-18,-832.49999999999,3.3958696327893e-05,-832.49999999999,-27.75,-30.000696691919,18.029098062021
58.842870208787,0,0,-0.92500000000003,7.9350413546393e-18,-832.50000000003,3.3595824586161e-05,-832.50000000003,-27.75,-30.000687931729,18.024306938023
60.703304614347,0,0,-0.92499999999999,-8.1642080008144e-18,-832.49999999999,3.3265267983003e-05,-832.49999999999,-27.75,-30.000680119292,18.020108945998
62.749782460464,0,0,-0.92499999999997,-1.5693261758096e-19,-832.49999999997,3.2897377328909e-05,-832.49999999997,-27.75,-30.00067160276,18.015613215348
65.000908091191,0,0,-0.92500000000001,9.0531267273104e-18,-832.50000000001,3.2488040513214e-05,-832.50000000001,-27.75,-30.000662326301,18.010812165456
67.477146284992,0,0,-0.925,6.9387056743634e-19,-832.5,3.203266722381e-05,-832.5,-27.75,-30.000652231088,18.005700894468
70.201008298173,0,0,-0.92499999999999,1.594463290241e-18,-832.49999999999,3.1526206238752e-05,-832.49999999999,-27.75,-30.000641255364,18.000277783445
72.652484110035,0,0,-0.92500000000001,-1.004813633045e-17,-832.50000000001,3.1066315118e-05,-832.50000000001,-27.75,-30.000631490426,17.995569598874
74.858812340712,0,0,-0.92499999999998,-1.3631385923458e-18,-832.49999999998,3.0649415859858e-05,-832.49999999998,-27.75,-30.000622791832,17.99146746337
76.844507748321,0,0,-0.925,6.8885575592951e-18,-832.5,3.0272038804096e-05,-832.5,-27.75,-30.000615034487,17.987881756261
79.02877269669,0,0,-0.92500000000001,-5.6559448618257e-18,-832.50000000001,2.9854717878413e-05,-832.50000000001,-27.75,-30.000606577961,17.984050260785
81.431464139897,0,0,-0.925,-1.420107204935e-19,-832.5,2.9393665348657e-05,-832.5,-27.75,-30.000597366517,17.97996777609
84.074424727424,0,0,-0.92500000000001,2.4076440951844e-20,-832.50000000001,2.8884789698987e-05,-832.50000000001,-27.75,-30.000587341284,17.975631220377
86.981681373704,0,0,-0.92499999999998,1.4398033561723e-17,-832.49999999998,2.8323771447827e-05,-832.49999999998,-27.75,-30.000576440242,17.971039973344
89.598212355356,0,0,-0.92499999999999,-8.5346371550463e-18,-832.49999999999,2.7818802815932e-05,-832.49999999999,-27.75,-30.000566740095,17.967061193281
91.953090238843,0,0,-0.92500000000002,-1.4599318706717e-19,-832.50000000002,2.7364699930833e-05,-832.50000000002,-27.75,-30.00055809757,17.963599150694
94.072480333981,0,0,-0.92499999999999,1.7338830310636e-18,-832.49999999999,2.6956638010952e-05,-832.49999999999,-27.75,-30.000550388662,17.96057576192
96.403809438633,0,0,-0.925,1.4128168864727e-17,-832.5,2.6508692933115e-05,-832.5,-27.75,-30.000541982974,17.957347259654
98.96827145375,0,0,-0.925,1.7915854565294e-17,-832.5,2.601780824034e-05,-832.5,-27.75,-30.00053282423,17.953908712913
101.78917967038,0,0,-0.92500000000003,-4.2825689351646e-18,-832.50000000002,2.548084758667e-05,-832.50000000002,-27.75,-30.00052285274,17.950256483908
104.89217870867,0,0,-0.92499999999999,3.6788711424236e-19,-832.49999999999,2.4894719917499e-05,-832.49999999999,-27.75,-30.000512005286,17.946388328508
108.30547765079,0,0,-0.92500000000001,-1.0675463048402e-17,-832.50000000001,2.4256588699295e-05,-832.50000000001,-27.75,-30.000500215015,17.942303403595
111.3774466987,0,0,-0.925,-2.2268277366471e-18,-832.5,2.368953173377e-05,-832.5,-27.75,-30.000489726924,17.938769861505
114.14221884182,0,0,-0.92500000000001,-4.5920093643248e-18,-832.50000000001,2.3185600211691e-05,-832.50000000001,-27.75,-30.000480384285,17.935698336455
116.63051377062,0,0,-0.92500000000001,7.866762734622e-18,-832.50000000001,2.2737667202774e-05,-832.50000000001,-27.75,-30.00047205188,17.93301702202
119.36763819231,0,0,-0.92500000000001,-2.882259948937e-18,-832.50000000001,2.2251352252649e-05,-832.50000000001,-27.75,-30.000462966795,17.930153448008
122.37847505617,0,0,-0.925,-9.6142865254403e-18,-832.5,2.1724939550914e-05,-832.5,-27.75,-30.000453067614,17.927101423982
125.69039560641,0,0,-0.92500000000002,1.0226063836063e-17,-832.50000000002,2.1156976836846e-05,-832.50000000002,-27.75,-30.000442288872,17.923855044895
129.33350821167,0,0,-0.925,1.1010881272194e-19,-832.5,2.0546456316591e-05,-832.5,-27.75,-30.000430560793,17.920408542494
133.34093207746,0,0,-0.925,8.7997723494657e-18,-832.5,1.9893067160354e-05,-832.5,-27.75,-30.000417808995,17.916756038716
136.94761355668,0,0,-0.925,-6.0660979201666e-19,-832.5,1.9322406877214e-05,-832.5,-27.75,-30.000406460553,17.913582695291
140.19362688797,0,0,-0.92499999999998,-2.0915003413944e-18,-832.49999999999,1.8823225667816e-05,-832.49999999999,-27.75,-30.000396346629,17.910811473251
143.11503888613,0,0,-0.92500000000001,5.768338957675e-18,-832.50000000001,1.8385847866735e-05,-832.50000000001,-27.75,-30.000387321799,17.908380967966
146.32859208411,0,0,-0.92500000000001,4.2797697265608e-18,-832.50000000001,1.7917778487443e-05,-832.50000000001,-27.75,-30.00037747618,17.905772001382
149.86350060188,0,0,-0.92500000000002,6.3412225152991e-18,-832.50000000002,1.7419067970708e-05,-832.50000000002,-27.75,-30.000366740946,17.902974512828
153.75189997144,0,0,-0.92499999999999,1.7069965583092e-18,-832.49999999999,1.6890286543591e-05,-832.49999999999,-27.75,-30.000355042222,17.899977763549

