time,top,total_free_energy
0,0,0
0.61051,152.22992948911,903.29503599133
1.5937424601,152.2520371763,902.82549607797
2.8805240319802,152.25218746824,902.48430926415
4.5877173722505,152.25217010277,902.11938147095
7.010212821152,152.25214437125,901.7014492942
9.1470718316735,152.25212166961,901.40649195878
11.761773275415,152.25209389276,901.1141289623
15.78916420731,152.25205111133,900.73964124054
20.329088459908,152.25200288964,900.37179021044
27.321875269343,152.25192862308,899.96606480986
32.609332122448,152.2518724749,899.73260228516
38.298356960608,152.25181206914,899.47609944405
42.771418626385,152.25176485906,899.30063430677
47.12304069445,152.2517186664,899.16068843675
50.817273214154,152.25167945199,899.06486480856
56.557915465267,152.25161852068,898.9514447293
64.703846801253,152.25153207175,898.82739533152
74.23675122013,152.25143092168,898.70758003578
82.965663748899,152.25133831962,898.62209307494
92.44467319843,152.25123777862,898.54327127824
107.71071270699,152.25107589696,898.44275944607
127.68977067383,152.250864114,898.31058483202
141.75927595903,152.250714238,898.13158260687
151.76449862256,152.25060841534,898.01752916489
155.15767066459,152.2505724004,897.94899038186
158.03824400174,152.2505418895,897.90297616469
162.51450285076,152.25049448107,897.84396694059
169.40922665967,152.2504214669,897.74490605381
176.25714430599,152.25034895851,897.6508852478
182.07056276595,152.2502874117,897.58915770784
188.83939802725,152.25021606445,897.5061200851
193.70908359596,152.25016455323,897.43375187202
200.61913347109,152.25009142325,897.37356579276
207.53708069529,152.25001821971,897.32956107323
214.37725997513,152.24994584918,897.29413187352
220.96938291942,152.24987611264,897.26290868589
227.21870816391,152.24981001109,897.23728677979
232.52396220098,152.24975390192,897.21875715443
240.76804681549,152.2496667232,897.19337270835
254.045227528,152.24952635164,897.15936120037
275.4282598373,152.24930036125,897.11794431305
309.86584720175,152.24893660734,897.06656283929
349.33412365338,152.24851815834,896.96108616888
375.64633340105,152.24824123293,896.81062070841
384.24399287657,152.24814835085,896.71602058309
387.26137723104,152.24811646318,896.67476703385
391.09296062871,152.24807607039,896.63085723213
395.23213229051,152.24803243884,896.59417158684
398.87592997706,152.24799403211,896.56898569976
404.74430258924,152.24793218366,896.53466626387
413.78328128404,152.24783693367,896.48982229435
422.42342916458,152.24774590274,896.44536777499
426.88499539507,152.24769852052,896.38467278575
430.25054045107,152.24766306805,896.35357121399
434.52423085502,152.24761805433,896.32800758142
441.40705198747,152.24754556748,896.29816756645
452.4919042495,152.24742884794,896.26226378281
469.56575931174,152.24724911759,896.21623112006
482.93545922107,152.24710842295,896.18714223568
499.91278600035,152.24692981871,896.15508086264
518.90597910719,152.24673008001,896.12354397071
543.02422021535,152.2464765553,896.08871774373
574.58838175756,152.24614494799,896.04888399815
616.46505108018,152.24570532631,896.0023356762
683.90784579096,152.24499809409,895.93009925724
750.43907487406,152.24430488295,895.78558561442
768.37107072075,152.24411988619,895.67623691394
779.31975579983,152.24400538572,895.62851872816
796.33343423611,152.24382746771,895.56287094934
803.60549660871,152.24375175515,895.50082698383
807.65858693854,152.24370937155,895.45307674703
811.0750426492,152.24367365994,895.39464053531
813.74384857451,152.24364576513,895.37034075707
817.8910320485,152.24360242106,895.34477502562
824.5701125052,152.24353262263,895.31524044962
835.32683837153,152.2434202314,895.28065864974
852.65065294651,152.24323927557,895.23698618088
872.03147537205,152.2430369084,895.1984023057
896.64194215898,152.24278004953,895.15899166884
936.27734502398,152.24236664433,895.1066771098
1000.1105576921,152.24170154699,895.03840957695
1102.9145850263,152.24063220293,894.94608150588
1268.4814990882,152.23891467447,894.81431785235
1503.4197959656,152.23648734307,894.61744640578
1544.981146113,152.23602095981,894.54429526646
1583.7223526207,152.23562197464,894.47208476085
1602.8105728561,152.23541770694,894.42741311564
1606.6538940545,152.23537802503,894.38087351866
1611.1864454105,152.23533140596,894.35613553527
1618.4861646948,152.23525634106,894.33001066611
1628.8444154725,152.23514984351,894.29460796709
1636.0479846933,152.23507579367,894.27572851641
1645.1953365012,152.23498177801,894.25605834079
1659.9272380615,152.23483040129,894.22860248885
1679.2072559777,152.23463235856,894.19574610408
1692.0396480376,152.23449952765,894.1411194488
1698.933919684,152.23442866981,894.10120749875
1710.0372131132,152.23431469758,894.07376639213
1727.9191782139,152.23413119873,894.04510785286
1756.7182618282,152.23383581093,894.00894868167
1783.0789757994,152.23356558329,893.98114591337
1816.5527604214,152.2332226452,893.94228702527
1870.4626252928,152.23267082573,893.89678747968
1957.285001767,152.23178337303,893.83032499814
2091.016389163,152.23041947123,893.73218047822
2170.5824740999,152.22961129339,893.65147842911
2206.3820670241,152.2292471312,893.58956182482
2233.2758032429,152.22897392297,893.55595586928
2271.9158128028,152.22858164625,893.50899001068
2281.151246829,152.22848630944,893.45665209861
2285.051013622,152.2284467499,893.4375203735
2290.0030780406,152.2283965116,893.41755950977
2293.8966960415,152.2283572473,893.37692312548
2298.1958479406,152.22831364333,893.35132466653
2305.1196750655,152.22824342154,893.32851434083
2316.2705678884,152.22813034915,893.30574192297
2334.2291922887,152.2279482982,893.27974618952
2354.3202010559,152.22774470859,893.25654823507
2375.0518855537,152.22753471293,893.233879241
2402.5569372894,152.22725624336,893.196337352
2446.8540981602,152.22680808867,893.1586689163
2518.1951187143,152.22608716871,893.10597205092
2633.0905457269,152.22492828855,893.03017802529
2717.585426677,152.22405982855,892.96862249813
2750.9717735255,152.22372230835,892.93498052012
2798.3467669655,152.22324637499,892.88997148487
2831.2933572635,152.22291566695,892.86413935399
2873.1301249955,152.2224960368,892.83276248406
2894.8570884462,152.22227329103,892.80205385169
2900.212725305,152.22221958381,892.76191718827
2905.5744830073,152.22216585946,892.74704312229
2914.2096474045,152.22207934822,892.73238213747
2928.1166660178,152.22194005247,892.71653836672
2950.5140585647,152.2217157969,892.69667720189
2986.5852832353,152.22135484263,892.66961776997
3026.9395595403,152.22095133824,892.64013258379
3056.2709453035,152.22065921469,892.61292687976
3062.8122322344,152.22059403675,892.57126570521

