time,order_parameter_c,top,total_free_energy
0,0,0,0
0.15,1928.5,50.118147104762,14.85820844411
0.315,1928.878125,50.161389771133,14.263443443068
0.4965,1929.0211035156,50.153184904421,13.963395983036
0.69615,1929.0751672668,50.124934357347,13.754861883952
0.915765,1929.0956101228,50.092171565792,13.593328163074
1.1573415,1929.1033400777,50.058833973599,13.480418534763
1.42307565,1929.1062629669,50.024014371171,13.403699183392
1.715383215,1929.1073681843,49.9854430028,13.347740514867
2.0369215365,1929.1077860947,49.940833799864,13.306906414213
2.39061369015,1929.1079441171,49.888958386634,13.282458447527
2.779675059165,1929.1080038693,49.831450998141,13.279158778094
3.2076425650815,1929.1080264631,49.774155478198,13.298676932227
3.6784068215896,1929.1080350064,49.724703464139,13.331248325193
4.1962475037486,1929.1080382368,49.687502730692,13.360822386664
4.7658722541235,1929.1080394583,49.662439761227,13.378532559501
5.3924594795358,1929.1080399202,49.647702458315,13.383702471351
6.0817054274894,1929.1080400948,49.642158094844,13.376578635957
6.8398759702383,1929.1080401608,49.645265580248,13.357848255052
7.6738635672622,1929.1080401857,49.65508209144,13.333096852409
8.5912499239884,1929.1080401951,49.666380072125,13.310701846194
9.6003749163872,1929.1080401986,49.670746011124,13.298528455345
10.710412408026,1929.1080402,49.657724152151,13.299480898449
11.931453648829,1929.1080402004,49.620051918499,13.310384799223
13.274599013711,1929.1080402006,49.562868525705,13.327618953402
14.752058915083,1929.1080402006,49.494435974788,13.349095212158
16.377264806591,1929.1080402006,49.424583180115,13.377816922396
18.16499128725,1929.1080402006,49.373896097581,13.415789113179
20.131490415975,1929.1080402006,49.349803028323,13.457135194995
22.294639457572,1929.1080402004,49.34116726679,13.498054462225
24.67410340333,1929.1080402003,49.331693468836,13.539754968231
26.815620954511,1929.1080402002,49.309892356459,13.57730227498
28.742986750574,1929.1080402008,49.261840949786,13.612592891393
30.863089126244,1929.108040201,49.179982731533,13.655456899484
33.195201739481,1929.1080402011,49.133471279095,13.703525677689
35.760525614041,1929.1080402011,49.123722698327,13.761429880321
38.582381876058,1929.1080402011,49.12261162342,13.827558560922
41.122052511872,1929.1080402019,49.119735977181,13.877312843384
43.407756084106,1929.1080402021,49.111906030263,13.920072774779
45.922030013562,1929.1080402022,49.085178243124,13.993362545883
48.687731335964,1929.1080402023,49.000528821093,14.116526408471
51.730002790607,1929.1080402022,48.878576233735,14.234689396769
55.076501390714,1929.1080402022,48.825257607131,14.283542942053
58.08835013081,1929.1268601553,48.828956909699,14.288924282244
60.799013996896,1929.1263076706,48.840106553443,14.337226559523
63.238611476374,1929.1261478447,48.839437377422,14.36733957757
65.434249207904,1929.1261016093,48.819822487392,14.381719458518
67.410323166281,1929.1260882341,48.783609055933,14.395436412769
68.497163843388,1929.1260865622,48.74755553033,14.401432816445
69.692688588206,1929.12608593,48.633953810648,14.383552693087
70.768660858543,1929.1260857471,48.472198367911,14.360864351724
71.737035901845,1929.1260856942,48.382236428407,14.395858341344
72.608573440818,1929.1260856789,48.350955349467,14.418275830338
73.392957225893,1929.1260856745,48.342589159213,14.425653584618
74.255779389475,1929.1260856728,48.33999200685,14.429135035998
75.204883769416,1929.1260856722,48.338628655424,14.430986547763
76.248898587351,1929.1260856719,48.33684488098,14.43154947841
77.39731488708,1929.1421675724,48.334195297906,14.43026285982
78.660572816781,1929.1571237773,48.330707131301,14.427938853036
80.050156539453,1929.1568902854,48.326581111412,14.425336578764
81.578698634392,1929.1568019963,48.32206732665,14.42201160046
83.260094938824,1929.1567686119,48.317422877835,14.418077289679
84.773351612813,1929.1567589543,48.313675555103,14.414334424072
86.135282619404,1929.1567561605,48.310732904708,14.410865628819
87.361020525335,1929.1567553523,48.308485397134,14.407860096231
88.709332221859,1929.1567550467,48.306522463377,14.405026174583
90.192475088036,1929.1567549312,48.305103874901,14.402863384513
91.823932240831,1929.1567548875,48.304692098534,14.401993307282
93.618535108905,1929.1814189136,48.306151171754,14.402062124126
95.592598263786,1929.1805932473,48.310946429993,14.405199949839
97.764067734156,1929.194571272,48.320098402,14.408606915866
99.718390257489,1929.197328001,48.329167137501,14.414288112609
101.47728052849,1929.1971814169,48.33433143827,14.421628014933
103.06028177239,1929.2034129149,48.334538641527,14.42687896759
104.4849828919,1929.2032724715,48.331210836092,14.429915610519
106.05215412336,1929.2032193663,48.32499363496,14.431169019972
107.77604247796,1929.2031992858,48.316616768147,14.430418340801
109.67231966803,1929.2036728781,48.30677396403,14.427721640527
111.7582245771,1929.2034653587,48.295958773755,14.424557045887
113.63553899527,1929.2034053263,48.286473593091,14.423492946835
115.32512197162,1929.2033879598,48.278103247058,14.425658461978
117.18366324561,1929.134517087,48.269049742725,14.444823556625
119.22805864699,1929.1353458796,48.262838459241,14.432225010929
121.06801450823,1928.8679439534,48.260558866051,14.474224567915
122.72397478335,1928.8169186345,48.254965998393,14.463423583759
124.21433903096,1928.8129621187,48.246581738898,14.419785545532
125.85373970333,1928.5332473621,48.236220036391,14.439473409326
127.65708044294,1928.5283643351,48.225235735616,14.409659560473
129.64075525651,1928.3378003407,48.214115243625,14.413600181926
131.82279755143,1928.3175229897,48.202879478117,14.388219810758
134.22304407584,1928.295641254,48.191414048901,14.369924726781
136.8633152527,1928.2912673084,48.179584869838,14.341332795204
137.58938982634,1928.2907205652,48.175789249993,13.982756597846
138.24285694261,1929.1780054983,48.17282713611,13.719563165958
138.83097734725,1929.8216838969,48.170311077265,13.59496654385
139.36028571144,1929.9527485268,48.168112357716,13.540818797285
139.8366632392,1930.9131856284,48.166178710523,13.954663502542
