time,Integrated_grad_energy,SideFluxIntegral,average_composition,c_time_derivative,chemical_potential_integral,chemical_potential_time_derivative,mobility_integral,order_parameter,right,top,total_free_energy
0,0,0,0,0,0,0,0,0,0,0,0
0.915765,0,0,-0.43075000000002,-2.2327517439081e-17,-387.675,0.00085336731319018,14.435757643052,-387.675,-30.230024978783,-29.999993582139,22.665838577415
2.39061369015,0,0,-0.43075000000003,-1.716679791905e-17,-387.675,6.121951049379e-05,16.902899198331,-387.675,-30.238423229202,-29.999990906023,22.02115414318
4.7658722541235,0,0,-0.43075000000004,-2.1101894645723e-17,-387.675,4.5490824302543e-05,16.930060765194,-387.675,-30.242572546233,-29.999993570808,21.902356265924
8.5912499239884,0,0,-0.43075000000003,1.1982278655495e-18,-387.675,2.9439224255368e-05,17.039745425182,-387.675,-30.246075799007,-29.99999742024,21.756325657997
14.752058915083,0,0,-0.43075000000003,1.387703488964e-19,-387.675,3.7700249344593e-05,17.252813815211,-387.675,-30.245872413274,-30.000002628246,21.571058505035
24.67410340333,0,0,-0.43075000000003,3.292714468657e-18,-387.675,2.8119773887901e-05,17.53076531966,-387.675,-30.234741915734,-30.000008271147,21.369438012658
40.653655272096,0,0,-0.43075000000004,-3.1065629789866e-18,-387.675,9.5588286690174e-06,17.893789850362,-387.675,-30.200172799219,-30.000010649914,21.165065195615
66.388883352264,0,0,-0.43074791331456,1.067504329652e-18,-387.67312198307,7.1598693410098e-06,18.273576448969,-387.67312198307,-30.130069292874,-30.000007133376,20.974628367512
107.83572552765,0,0,-0.43081529607879,-3.9265623991555e-19,-387.73376647089,8.2682597708093e-06,18.645458370589,-387.73376647089,-30.028118961993,-29.999997477715,20.774946073797
171.675762306,0,0,-0.43085563114015,-7.9272495926729e-19,-387.77006802611,1.0487562336276e-05,18.914722893509,-387.77006802611,-29.968826053357,-29.999986417829,20.587748243086
232.69895719208,0,0,-0.43082683109665,6.0327709971052e-19,-387.74414798695,5.7937821424142e-07,18.828192817328,-387.74414798695,-29.971138535759,-29.999980188104,20.478017589284
327.52577954084,0,0,-0.43082691921262,2.1105425831965e-19,-387.74422729133,1.2095427018281e-06,18.507426559898,-387.74422729133,-30.005334635068,-29.99997947514,20.365740077842
421.28660835079,0,0,-0.43082011028471,1.0650215819689e-19,-387.73809925621,4.5482541376184e-07,18.404165933243,-387.73809925621,-30.033364042108,-29.999987263098,20.291274636309
555.99899238282,0,0,-0.43087370945155,-1.6359123769411e-19,-387.78633850637,6.5116556096621e-06,18.467547719267,-387.78633850637,-30.076221719161,-30.000001855543,20.211324024657
